url_path,views_total,views_unique
/aguo890/Job-Automation-Suite,93,17
/aguo890/Job-Automation-Suite/graphs/traffic,23,1
/aguo890/Job-Automation-Suite/tree/dev-branch,18,1
/aguo890/Job-Automation-Suite/pulls,16,1
/aguo890/Job-Automation-Suite/pulse,14,1
/aguo890/Job-Automation-Suite/issues,13,4
/aguo890/Job-Automation-Suite/tree/main,11,2
/aguo890/Job-Automation-Suite/compare,8,1
/aguo890/Job-Automation-Suite/compare/main...dev-branch,8,1
/aguo890/Job-Automation-Suite/deployments/github-pages,8,1
