time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-22 00:00:00+00:00,127,33,11,5
2026-04-23 00:00:00+00:00,557,129,6,3
2026-04-24 00:00:00+00:00,39,17,15,3
2026-04-25 00:00:00+00:00,634,182,97,5
2026-04-26 00:00:00+00:00,647,187,21,1
2026-04-27 00:00:00+00:00,374,108,20,2
2026-04-28 00:00:00+00:00,381,102,7,4
2026-04-29 00:00:00+00:00,435,126,37,2
2026-04-30 00:00:00+00:00,337,90,1,1
2026-05-01 00:00:00+00:00,497,136,7,1
2026-05-02 00:00:00+00:00,885,169,22,2
2026-05-03 00:00:00+00:00,446,126,1,1
2026-05-04 00:00:00+00:00,345,99,7,1
2026-05-05 00:00:00+00:00,459,114,11,3
