time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-10 00:00:00+00:00,267,82,67,11
2026-04-11 00:00:00+00:00,229,85,19,6
2026-04-12 00:00:00+00:00,213,82,30,6
2026-04-13 00:00:00+00:00,273,85,21,5
2026-04-14 00:00:00+00:00,406,120,64,4
2026-04-15 00:00:00+00:00,351,119,31,5
2026-04-16 00:00:00+00:00,354,109,72,5
2026-04-17 00:00:00+00:00,50,13,5,2
2026-04-18 00:00:00+00:00,24,6,1,1
2026-04-19 00:00:00+00:00,13,2,4,2
2026-04-20 00:00:00+00:00,14,2,2,2
2026-04-21 00:00:00+00:00,13,3,12,3
2026-04-22 00:00:00+00:00,127,33,11,5
2026-04-23 00:00:00+00:00,557,129,6,3
2026-04-24 00:00:00+00:00,39,17,15,3
2026-04-25 00:00:00+00:00,634,182,97,5
2026-04-26 00:00:00+00:00,647,187,21,1
2026-04-27 00:00:00+00:00,374,108,20,2
2026-04-28 00:00:00+00:00,381,102,7,4
2026-04-29 00:00:00+00:00,435,126,37,2
2026-04-30 00:00:00+00:00,337,90,1,1
2026-05-01 00:00:00+00:00,497,136,7,1
